"filename", "language", "JSON", "SQL", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "CSS", "Markdown", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cDependencia\sDependencia.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cDependencia\sDependencia.service.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 12, 43
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cEvaluacion\c-evaluacion.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cEvaluacion\c-evaluacion.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cEvaluacion\s-evaluacion.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cEvaluacion\s-evaluacion.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 5, 24
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cInforme\i-informe.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cInforme\i-informe.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 19, 6, 69
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cInforme\s-informe.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cInforme\s-informe.service.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 13, 53
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cInstitucion\i-institucion.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cInstitucion\s-institucion.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cInstitucion\s-institucion.service.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 7, 33
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cMiembro\i-miembro.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cMiembro\i-miembro.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cMiembro\s-miembro.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cMiembro\s-miembro.service.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 16, 49
